
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:49670        LAPTOP-SECNEB94:49671  ESTABLISHED
  TCP    127.0.0.1:49671        LAPTOP-SECNEB94:49670  ESTABLISHED
  TCP    192.168.31.213:49911   223.167.166.57:http    FIN_WAIT_1
  TCP    192.168.31.213:49913   140.206.78.14:http     ESTABLISHED
  TCP    192.168.31.213:49937   140.206.78.33:http     ESTABLISHED
  TCP    192.168.31.213:49986   tm-in-f188:5228        ESTABLISHED
  TCP    192.168.31.213:50001   52.139.250.253:https   ESTABLISHED
  TCP    192.168.31.213:50002   157.255.245.217:https  ESTABLISHED
  TCP    192.168.31.213:50027   lb-140-82-114-26-iad:https  ESTABLISHED
  TCP    192.168.31.213:50049   52.98.90.178:https     ESTABLISHED
  TCP    192.168.31.213:50050   117.18.237.29:http     CLOSE_WAIT
  TCP    192.168.31.213:50527   13.107.18.11:https     ESTABLISHED
  TCP    192.168.31.213:50550   53:https               ESTABLISHED
  TCP    192.168.31.213:50587   223.166.152.108:https  TIME_WAIT
  TCP    192.168.31.213:50590   223.166.152.108:https  ESTABLISHED
  TCP    192.168.31.213:50595   40.90.185.223:https    ESTABLISHED
  TCP    192.168.31.213:50597   163.177.20.230:http    ESTABLISHED
  TCP    192.168.31.213:50598   36.249.75.117:http     ESTABLISHED
  TCP    192.168.31.213:50599   36.249.75.117:http     ESTABLISHED
  TCP    192.168.31.213:50600   36.249.75.117:http     ESTABLISHED
  TCP    192.168.31.213:50601   server-54-192-151-47:https  TIME_WAIT
  TCP    192.168.31.213:50615   tsa03s01-in-f14:https  SYN_SENT
  TCP    192.168.31.213:50616   tsa03s01-in-f14:https  SYN_SENT
  TCP    192.168.31.213:58806   13.107.5.88:https      ESTABLISHED
